student_id,age,gender,course,previous_semester_gpa,study_hours_per_day,attendance_percentage,sleep_hours_per_day,assignment_completion_rate,study_medium,exam_difficulty,social_media_hours_per_day,analytical_skill,communication_skill,technical_skill,leadership_skill,creativity_skill,final_exam_score,career_path
1,20,Female,BBA,5.41,1.0,82,5.7,poor,self-study,moderate,2.8,outstanding,good,average,outstanding,outstanding,57.7,Business
2,22,Male,BCA,8.26,2.2,70,5.0,poor,online,hard,7.0,outstanding,average,poor,average,average,69.88,Research
3,20,Male,BBA,6.82,4.3,81,7.8,average,coaching,moderate,1.3,poor,average,poor,good,average,84.4,Public Service
4,18,Male,BCom,5.11,3.4,86,4.8,average,self-study,hard,0.1,outstanding,good,good,good,poor,72.75,Technology
5,24,Male,BBA,6.66,5.5,89,5.4,good,coaching,easy,3.4,poor,average,average,poor,good,88.01,Creative
6,24,Female,BCA,8.85,6.1,67,7.1,outstanding,online,easy,0.5,poor,average,outstanding,poor,good,95.0,Creative
7,18,Female,BBA,8.33,7.8,87,4.3,outstanding,self-study,moderate,1.9,good,poor,average,poor,average,95.0,Public Service
8,20,Male,BBA,7.98,7.0,60,5.1,outstanding,self-study,hard,5.7,average,poor,good,outstanding,outstanding,95.0,Creative
9,24,Female,BBA,6.68,3.5,91,8.7,average,self-study,easy,0.0,outstanding,poor,good,poor,good,95.0,Technology
10,21,Female,BBA,8.68,2.1,85,8.6,poor,coaching,hard,1.6,average,average,good,poor,poor,95.0,Public Service
11,22,Male,BTech,6.95,5.7,83,7.4,average,online,hard,0.0,outstanding,average,good,average,good,95.0,Technology
12,20,Female,BCom,9.32,1.9,73,7.4,poor,coaching,hard,6.9,good,average,good,poor,average,85.58,Technology
13,18,Female,BCom,7.39,6.9,73,8.9,outstanding,group-study,moderate,5.5,average,good,good,poor,good,85.07,Creative
14,19,Female,BSc,7.17,4.4,75,8.9,average,online,moderate,0.0,average,good,good,good,good,95.0,Business
15,21,Female,BA,5.27,3.2,76,4.5,good,coaching,easy,2.8,good,good,poor,outstanding,poor,68.36,Business
16,20,Female,BBA,7.4,6.0,90,6.5,good,group-study,moderate,0.0,good,outstanding,good,good,average,95.0,Technology
17,18,Male,BTech,5.42,4.1,72,8.4,average,coaching,hard,4.4,average,average,outstanding,outstanding,good,76.05,Creative
18,21,Male,BCA,9.04,9.1,77,5.1,good,self-study,moderate,0.0,average,outstanding,outstanding,outstanding,average,95.0,Business
19,23,Male,BA,7.92,5.8,69,8.7,good,online,moderate,2.2,outstanding,poor,average,average,outstanding,95.0,Creative
20,18,Female,BCA,7.25,4.0,82,7.2,average,group-study,hard,2.8,poor,average,good,average,outstanding,95.0,Creative
